	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP103628	1	86843	50.13415013299863	8794d38f6d91a28368c1602dc54dfad2	IncI-gamma/K1	KJ484639	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	CP016520	0.00719593	Salmonella enterica subsp. enterica serovar Heidelberg	AA474	AI614	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP103296	1	108288	48.99619533096927	7d3c80f9aa063f2cfc88c9824cc2549f	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBP	NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094	MOBF	CP000430	conjugative	CP019282	0.0137986	Escherichia coli	AA176	AH859	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP103580	1	170849	52.03483778073035	88ce4707332796f26f997b6f3e566050	IncFIB	000107__CP014778_00094	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP021166	0.00291212	Klebsiella pneumoniae	AA276	AI084	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP102071	1	60949	35.45259151093537	668047918a2c47a64c0d5721b6ca42af	rep_cluster_183	CP003585	MOBQ	X92945	-	-	-	-	mobilizable	CP030934	0.0709514	Enterococcus gilvus	AD056	AM479	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP094286	1	8731	34.360325277745964	499cbd4b6a81508bba930b83669556e5	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	0.000191626	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP097021	1	62360	34.83322642719692	d7a33d8f26f783789020b040e354d2e1	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0132573	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP086593	1	69345	34.62974980171606	cfb6cd42193dcb458dadbc5b7347a7be	rep_cluster_180	001222__CP008815_00027	-	-	-	-	-	-	non-mobilizable	CP030043	0.0693234	Enterococcus faecalis	AD415	AM971	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP087330	1	6806	33.41169556273876	dc1573f9e5901970195de9b49218655d	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP023024	0.0433296	Acinetobacter baumannii	AB337	AK065	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP076265	1	145019	48.87635413290672	734e08e65a3007292d216743d02e2783	IncFIA,IncFIB	CP022610_00144,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP027521	0.0132573	Escherichia coli	AA302	AI152	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP046248	1	66565	34.30932171561631	7f2e138754a0bff4753d7f3a095c9c84	rep_cluster_180	001222__CP008815_00027	MOBP	NC_013533_00032	MPF_T	NC_006827_00028,NC_004671_00018	-	-	conjugative	CP022485	0.0226378	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP074021	1	88082	49.96026429917577	52d24205f7edc7aae14ad0e8f8f768c7	IncI1/B/O	CP012627	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	DQ916413	conjugative	CP041621	0.000167546	Shigella flexneri	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
NZ_CP102837	1	194877	50.52109792330547	5b6b4d14257ace9910c91a4af7fa2629	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP034124	0.00058191	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP059476	1	57742	38.32045997713969	52adb977df386dcd951100118362254d	rep_cluster_481	001839__KT325596	MOBP,MOBP	NZ_AEOY01000096_00007,CP038024_00064	MPF_T	NC_019218_00004,NZ_ALIR01000021_00020,NC_019217_00010,NC_019217_00008,NC_019218_00007	MOBP	KC734561	conjugative	CP038024	0.0415686	Acinetobacter radioresistens	AE249	AN990	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP101869	1	37779	54.51970671537097	78c34c482bf75614832fd2b1563af4ae	IncFIA,IncFIB	AF250878,000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	KX518744	0.0323015	Escherichia coli	AD309	AM825	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP101785	1	134477	53.29387181451103	b231af135a36740ff7bfe627110f095f	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	0.000264084	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP102995	1	121101	51.566048174664125	2dc0e9aee28a52ba9c31a6e79110f058	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP024875	0.0205456	Klebsiella pneumoniae	AA402	AI429	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP092551	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP062359	1	27268	27.178377585448143	808aaf3286faeba0612a6df064ccb9c4	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	CP040624	9.55247e-05	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP073959	1	214096	47.01629175696883	c1b9325bed19ea5aac50c670b8ac2a09	IncHI1A,IncQ1	AF250878,000195__NC_013728_00014	MOBH	NC_013365_00169	MPF_F	NC_019360_00278,NC_005211_00030,NC_002305_00127,NC_002305_00120,NC_019360_00255,NC_019360_00256,NC_009981_00239	-	-	conjugative	KP899804	0.0034604	Salmonella enterica	AA998	AJ516	phylum	Proteobacteria	phylum	Proteobacteria	phylum	Proteobacteria	2653965; 25389419; 20851899
NZ_CP091903	1	43739	33.889663686869845	16f963dcfa61ae3a492e74ec194ac0d2	rep_cluster_180,rep_cluster_992	001222__CP008815_00027,002472__AE016833_00001	-	-	-	-	-	-	non-mobilizable	CP012444	0.0331502	Enterococcus faecium	AB173	AJ811	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP085292	1	43405	34.59509273125216	76c6a4d73aef255fb96aaa8c949a3aca	rep_cluster_980	002464__NC_004671_00001	-	-	-	-	-	-	non-mobilizable	KT448818	0.0403101	Enterococcus faecalis	AB918	AK896	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103732	1	180461	51.76353893639069	cce0db23709d04e220e55891188c0dfa	IncFIB,IncHI1B,IncU	000107__CP014778_00094,JN420336,000212__CP012556_00176	-	-	-	-	-	-	non-mobilizable	CP029739	0.0218499	Klebsiella pneumoniae	AA402	AI429	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	24096417; 18606786; 11254626; 18502921; 25389419; 19482926; 30619542; 15781495; 20851899; 16257053
NZ_CP076273	1	88425	49.74158891716144	814705f8a720c427bab6446acea78f9b	IncFIB,IncFII,IncI1	000095__NZ_CP014273_00094,LS992172_00069,CP010124_00057	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	MF370216	0.035622	Escherichia coli	AA304	AI157	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103552	1	55976	52.38852365299414	228c84286cd58232cc9378f68403f1c6	rep_cluster_1418	000759__NC_013950_00034	-	-	-	-	-	-	non-mobilizable	CP011999	0.051337	Klebsiella pneumoniae	AA025	AH580	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Klebsiella	16940067
NZ_CP101765	1	353327	51.84008015238009	64be2e2faaf7b1f97b474ee42a34065b	IncFIA,IncFIB,IncHI1B,IncR	MH263653_00001,000107__CP014778_00094,JN420336,000204__CP008701_00115	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP029221	0.0104835	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 18606786; 11254626; 25389419; 19482926; 19897651; 23711894; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP074020	1	120320	50.40890957446808	15a63fc6ad9eb7e4a2216f7574574813	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP024827	0.00744966	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP101878	1	111444	49.89860378306594	a7751930262ccbae55c4b79f7b75f444	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000096__NC_019117_00097,AY458016,KF954760	-	-	MPF_F	NC_007675_00027,NC_017639_00094,NZ_CM001154_00091,NC_022651_00077,NC_013437_00116	-	-	non-mobilizable	CP024039	0.00268639	Klebsiella pneumoniae	AA170	AH820	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103500	1	145779	52.938351888818005	695a2d0ae28af69e07835a9818d568a7	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP023442	0.00774383	Klebsiella pneumoniae	AA275	AI074	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP075718	1	81639	51.37618050196597	1b6c935666563c87a593e77e1054119d	IncFIA,IncFIC	MK878891_00042,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116,NC_019072_00073	MOBP	AP014804	conjugative	CP016389	0.00730426	Salmonella enterica subsp. enterica serovar Typhimurium	AA338	AI281	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP102392	1	135425	53.3180727339856	3f32c7d7bded0649b4a02cfb4eb061c2	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	4.76906e-05	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP103647	1	90382	52.66092806089708	48e0d132321c7ce160e06e3fbec092ea	IncK2/Z	KR905388	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	CP024154	0.030677	Escherichia coli	AA282	AI113	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
NZ_CP097049	1	58872	34.64635140644109	ec76d8e13fe9417f5ef51036ff406855	rep_cluster_180	001222__CP008815_00027	-	-	-	-	-	-	non-mobilizable	CP028283	0.0759181	Enterococcus faecalis	AB528	AK340	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP101728	1	172348	50.79896488500012	122ed3945809ba5b96fc39a36621f7a1	IncFIB,IncFIC,IncFII	000095__NZ_CP014273_00094,AP001918,KF954760	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP022166	0.000336872	Escherichia coli	AA179	AH868	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP084504	1	149924	50.90379125423548	91b451a11529a739c7e9c1f5aebda2f7	IncFIA,IncFII	AF250878,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP012993	0.00645455	Klebsiella pneumoniae	AA452	AI550	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP076491	1	53193	34.52521948376666	c37a004f7a52d90f61b1932deaa5d9fa	rep_cluster_180	001222__CP008815_00027	MOBP	NC_013533_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP022485	0.0368186	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP075605	1	75084	34.987480688295776	6ac0b86a1d82e3cdde367ac147a176d6	rep_cluster_1118,rep_cluster_2301,rep_cluster_980	000390__NC_002096_00001,AJ223161,002463__CP002494_00007	MOBC,MOBV,MOBV	NZ_ASWX01000006_00035,NC_005013_00008,NC_022618_00010	-	-	MOBP	CP012386	mobilizable	CP031028	0.0163866	Enterococcus faecalis	AE309	AO064	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP103728	1	152422	52.024642112031074	36430601515dc4f8cbf0a0920b2b5326	IncFIB	000107__CP014778_00094	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP021166	0.00451781	Klebsiella pneumoniae	AA276	AI084	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP098745	1	60149	34.00056526293039	f0f135a96a1473dc5f37ec33e27505a0	rep_cluster_180	001222__CP008815_00027	MOBP	AP018540_00034	-	-	-	-	mobilizable	AP018540	0.00669844	Enterococcus faecalis	AD287	AM780	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102489	1	113589	50.59468786590251	6f4fbad6afa33d93feca5756bbac0670	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000096__NC_019117_00097,AY458016,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP012377	0.0278663	Escherichia coli	AA320	AI208	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103415	1	11192	34.77483917083631	a194b6d9b64996e3f02d42606c23fe7d	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.00028831	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP092546	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076278	1	115220	48.492449227564656	d4b2cd1a71e49569add74ca9313c1244	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	JN253636	conjugative	CP014622	0.0220623	Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1727	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP075725	1	83577	52.37685009033586	8e9b210851d0c6fcbbfb4d6669041cee	IncFIA,IncFIC	CP022610_00144,CR942285	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	AP018353	0.00141786	Escherichia coli	AA316	AI194	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP096761	1	11194	34.777559406825084	0f68d3cbb01391a47e6120355336ce1a	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	9.55247e-05	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP074003	1	29022	44.94865963751637	296d9d01e45c19dc3d8bc42a61c6611e	IncFIA,IncFIB,rep_cluster_1760	AF250878,000107__CP014778_00094,001178__CP006640_00046	-	-	-	-	MOBF	NZ_CP013834	mobilizable	MF344556	0.0588483	Enterobacter cloacae	AE974	AO865	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP092577	1	90885	36.20069318369368	63b4e5c6a02767e0e05ff5edcb8d59d3	rep_cluster_1763,rep_cluster_185	001182__KY595965_00001,001274__DQ198088_00024	-	-	-	-	-	-	non-mobilizable	CP040708	0.0307758	Enterococcus faecium	AB173	AJ809	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP073963	1	133598	50.80016167906705	6a3b992bdafcd6f88c76217ef01f88b7	IncFIA,IncFIA,IncFIB,IncFIC	000136__AP014877_00014,AF250878,000095__NZ_CP014273_00094,AP001918	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	KP789020	0.00328537	Escherichia coli	AA324	AI218	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP102874	1	65073	51.354632489665455	4e5c3709ad5bf63c16b6393f52cd65cb	IncFII,rep_cluster_1254,rep_cluster_1418,rep_cluster_2183	000128__CP023916,000562__KT346360_00001,000759__NC_013950_00034,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00116,NC_021502_00150	-	-	conjugative	CP029740	0.0276006	Klebsiella pneumoniae	AA450	AI540	class	Gammaproteobacteria	class	Gammaproteobacteria	family	Enterobacteriaceae	20547789; 16940067; 20851899
NZ_CP078163	1	77697	34.996203199608736	b8a597dc0230fa66c2cb1a851975d55b	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0128243	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP102437	1	163393	52.5083693915896	68a63f52afa0713e0d191054924bb9eb	IncFIA,IncFII,IncN,IncU	MH263653_00001,JN232517,000153__NC_019087_00001,000210__KF623109_00045	MOBF	NC_015599_00019	MPF_F	NC_014312_00116,NC_022609_00068,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF,MOBP	NZ_CP016498,AP014804	conjugative	MH263653	0.017359	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 23114770; 19897651; 28842132; 30619542; 24247128; 20851899; 22511964
NZ_CP074048	1	218006	47.07576855682871	f6e805875c957b07e91e0a1928b0dee3	IncHI1A,IncQ1	AF250878,000195__NC_013728_00014	-	-	MPF_F	NC_019360_00278,NC_005211_00030,NC_019360_00255,NC_019360_00256,NC_009981_00239	-	-	non-mobilizable	CP022495	0.00811798	Salmonella enterica subsp. enterica serovar Derby	AA998	AJ514	phylum	Proteobacteria	phylum	Proteobacteria	phylum	Proteobacteria	2653965; 25389419; 20851899
NZ_CP065785	1	53948	34.08467413064432	9791facc715e8833be579523e2551067	rep_cluster_180,rep_cluster_185,rep_cluster_2301	001222__CP008815_00027,001274__DQ198088_00024,AJ223161	MOBV	NC_005013_00008	-	-	MOBP	CP012386	mobilizable	NC_016009	0.0618432	Enterococcus faecium	AB756	AK666	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP091891	1	59470	34.78392466789978	7f53ec905addcabb844754e7eb4c82b2	rep_cluster_1027	AY855841	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP036248	0.0366967	Enterococcus faecalis R712	AE315	AO075	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP096683	1	22367	34.76997362185362	febd7a6738a85da43a0f0f2c6aa32b4d	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.00121124	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP101515	1	88459	49.84116935529455	bfa602f5ce476dd1761a137a315d9c02	IncI-gamma/K1	KM409652	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP019215	0.00337267	Escherichia coli	AA474	AI611	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP092549	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP091907	1	149744	34.891548242333585	49df597a36e825bc5a45a291e2528e1c	rep_cluster_180,rep_cluster_992	001222__CP008815_00027,002472__AE016833_00001	MOBC,MOBP	NZ_ASWX01000006_00035,CP041878_00085	-	-	-	-	mobilizable	CP028286	0.0496454	Enterococcus faecalis	AE315	AO074	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP092548	1	78566	34.60020874169488	a316728c9c353f5d27da85c8f5339df4	rep_cluster_1763,rep_cluster_185,rep_cluster_889,rep_cluster_935	001182__KY595965_00001,001274__DQ198088_00024,002366__KY595966_00031,002420__CP003354_00001	-	-	-	-	-	-	non-mobilizable	CP040708	0.0124467	Enterococcus faecium	AB173	AJ809	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP098256	1	27490	30.691160421971627	ebabb3e8d2e4ada26b1037b30e7f17f9	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_2214	000261__GQ900456,CP000737,AP003089,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP021906	2.38274e-05	Staphylococcus aureus	AA410	AI460	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103561	1	151342	52.02917894569914	6f980cdc9b8fab868ac963e6e66f4bd2	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	MH745929	0.000557238	Klebsiella pneumoniae	AA277	AI092	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
